Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP.Syn.Abst.611	13078	1.0	25.206	0.193%	3.005	0.198%	0.0	1.0
SP.Syn.Abst.612	8702	1.0	23.509	0.27%	2.827	0.275%	1e-05	1.0
SP.Syn.Abst.613	8436	1.0	22.77	0.27%	2.683	0.275%	1e-05	1.0
SP.Syn.Abst.614	4703	1.0	24.874	0.529%	2.957	0.512%	5e-05	1.0
SP.Syn.Abst.615	10426	1.0	22.241	0.213%	2.707	0.222%	1e-05	1.0
SP.Syn.Abst.616	5345	1.0	22.631	0.423%	2.714	0.431%	2e-05	1.0
SP.Syn.Abst.617	5970	1.0	19.72	0.33%	2.429	0.349%	1e-05	1.0
SP.Syn.Abst.618	16215	1.0	26.136	0.161%	3.168	0.168%	0.0	1.0
SP.Syn.Abst.619	16323	1.0	22.244	0.136%	2.678	0.141%	0.0	1.0
SP.Syn.Abst.620	10048	1.0	24.781	0.247%	2.88	0.244%	1e-05	1.0
SP.Syn.Abst.621	10448	1.0	21.661	0.207%	2.621	0.212%	0.0	1.0
SP.Syn.Abst.622	8273	1.0	23.251	0.281%	2.745	0.282%	1e-05	1.0
SP.Syn.Abst.623	11711	1.0	21.777	0.186%	2.615	0.192%	0.0	1.0
SP.Syn.Abst.624	15120	1.0	25.589	0.169%	3.055	0.175%	0.0	1.0
SP.Syn.Abst.625	5934	1.0	23.791	0.401%	2.724	0.378%	2e-05	1.0
SP.Syn.Abst.626	8230	1.0	24.371	0.296%	2.928	0.304%	1e-05	1.0
SP.Syn.Abst.627	5057	1.0	20.922	0.414%	2.501	0.428%	2e-05	1.0
SP.Syn.Abst.628	6931	1.0	22.685	0.327%	2.798	0.346%	1e-05	1.0
SP.Syn.Abst.629	8013	1.0	23.856	0.298%	2.89	0.311%	1e-05	1.0
SP.Syn.Abst.630	6653	1.0	24.724	0.372%	2.872	0.37%	1e-05	1.0
SP.Syn.Abst.631	12891	1.0	22.47	0.174%	2.638	0.176%	0.0	1.0
SP.Syn.Abst.632	4488	1.0	23.118	0.515%	2.809	0.512%	3e-05	1.0
SP.Syn.Abst.633	18335	1.0	26.849	0.146%	3.09	0.145%	0.0	1.0
SP.Syn.Abst.634	12937	1.0	24.589	0.19%	2.856	0.188%	0.0	1.0
SP.Syn.Abst.635	6815	1.0	25.328	0.372%	2.953	0.372%	2e-05	1.0
SP.Syn.Abst.636	7719	1.0	26.404	0.342%	3.049	0.34%	1e-05	1.0
SP.Syn.Abst.637	7933	1.0	24.987	0.315%	2.895	0.311%	1e-05	1.0
SP.Syn.Abst.638	10663	1.0	21.841	0.205%	2.659	0.215%	1e-05	1.0
SP.Syn.Abst.639	15704	1.0	22.193	0.141%	2.69	0.148%	0.0	1.0
SP.Syn.Abst.640	10536	1.0	23.654	0.225%	2.783	0.228%	1e-05	1.0
SP.Syn.Abst.641	4272	1.0	23.456	0.549%	2.847	0.567%	3e-05	1.0
SP.Syn.Abst.642	3350	1.0	24.624	0.735%	2.884	0.741%	8e-05	1.0
SP.Syn.Abst.643	13499	1.0	25.005	0.185%	3.02	0.193%	0.0	1.0
SP.Syn.Abst.644	6807	1.0	24.476	0.36%	2.856	0.361%	1e-05	1.0
SP.Syn.Abst.645	5340	1.0	24.755	0.464%	2.918	0.466%	2e-05	1.0
SP.Syn.Abst.646	4164	1.0	23.551	0.566%	2.782	0.574%	5e-05	1.0
SP.Syn.Abst.647	10989	1.0	22.901	0.208%	2.721	0.212%	1e-05	1.0
SP.Syn.Abst.648	11053	1.0	23.029	0.208%	2.699	0.209%	1e-05	1.0
SP.Syn.Abst.649	7054	1.0	23.666	0.335%	2.809	0.341%	1e-05	1.0
SP.Syn.Abst.650	6818	1.0	23.769	0.349%	2.83	0.357%	2e-05	1.0
SP.Syn.Abst.651	9040	1.0	21.119	0.234%	2.54	0.24%	1e-05	1.0
SP.Syn.Abst.652	10493	1.0	23.843	0.227%	2.802	0.23%	1e-05	1.0
SP.Syn.Abst.653	6009	1.0	23.637	0.393%	2.79	0.398%	2e-05	1.0
SP.Syn.Abst.654	9248	1.0	21.878	0.237%	2.648	0.246%	1e-05	1.0
SP.Syn.Abst.655	8709	1.0	26.575	0.305%	3.06	0.3%	1e-05	1.0
SP.Syn.Abst.656	10343	1.0	24.171	0.234%	2.84	0.237%	1e-05	1.0
SP.Syn.Abst.657	4591	1.0	22.44	0.489%	2.61	0.49%	2e-05	1.0
SP.Syn.Abst.658	17928	1.0	24.05	0.134%	2.887	0.139%	0.0	1.0
SP.Syn.Abst.659	6388	1.0	24.198	0.379%	2.823	0.383%	2e-05	1.0
SP.Syn.Abst.660	6456	1.0	24.116	0.374%	2.909	0.385%	2e-05	1.0
SP.Syn.Abst.661	8888	1.0	25.322	0.285%	2.924	0.279%	1e-05	1.0
SP.Syn.Abst.662	13119	1.0	25.038	0.191%	2.938	0.193%	0.0	1.0
SP.Syn.Abst.663	9579	1.0	24.513	0.256%	2.87	0.257%	1e-05	1.0
SP.Syn.Abst.664	6830	1.0	23.641	0.346%	2.79	0.349%	1e-05	1.0
SP.Syn.Abst.665	7006	1.0	25.845	0.369%	2.95	0.357%	2e-05	1.0
SP.Syn.Abst.666	5653	1.0	24.55	0.434%	2.835	0.429%	2e-05	1.0
SP.Syn.Abst.667	11652	1.0	22.716	0.195%	2.729	0.203%	0.0	1.0
SP.Syn.Abst.668	3795	1.0	24.85	0.655%	2.869	0.64%	5e-05	1.0
SP.Syn.Abst.669	14599	1.0	25.189	0.173%	3.026	0.178%	0.0	1.0
SP.Syn.Abst.670	8839	1.0	23.967	0.271%	2.907	0.284%	1e-05	1.0
SP.Syn.Abst.671	7520	1.0	22.149	0.295%	2.711	0.311%	1e-05	1.0
SP.Syn.Abst.672	17780	1.0	24.024	0.135%	2.906	0.141%	0.0	1.0
SP.Syn.Abst.673	9974	1.0	23.491	0.236%	2.823	0.244%	1e-05	1.0
SP.Syn.Abst.674	8475	1.0	25.786	0.304%	2.961	0.301%	1e-05	1.0
SP.Syn.Abst.675	9507	1.0	24.727	0.26%	2.852	0.258%	1e-05	1.0
SP.Syn.Abst.676	6046	1.0	23.547	0.389%	2.834	0.397%	2e-05	1.0
SP.Syn.Abst.677	11130	1.0	25.15	0.226%	2.958	0.227%	1e-05	1.0
SP.Syn.Abst.678	15032	1.0	22.397	0.149%	2.71	0.153%	0.0	1.0
SP.Syn.Abst.679	10226	1.0	23.418	0.229%	2.882	0.241%	1e-05	1.0
SP.Syn.Abst.680	9526	1.0	23.448	0.246%	2.748	0.248%	1e-05	1.0
SP.Syn.Abst.681	8531	1.0	21.023	0.246%	2.569	0.257%	1e-05	1.0
SP.Syn.Abst.682	7957	1.0	23.899	0.3%	2.829	0.3%	1e-05	1.0
SP.Syn.Abst.683	6439	1.0	24.856	0.386%	2.9	0.386%	2e-05	1.0
SP.Syn.Abst.684	7124	1.0	23.312	0.327%	2.701	0.324%	1e-05	1.0
SP.Syn.Abst.685	6686	1.0	24.976	0.374%	2.967	0.384%	1e-05	1.0
SP.Syn.Abst.686	14515	1.0	25.541	0.176%	3.045	0.177%	0.0	1.0
SP.Syn.Abst.687	10998	1.0	23.885	0.217%	2.802	0.22%	0.0	1.0
SP.Syn.Abst.688	9341	1.0	22.807	0.244%	2.714	0.247%	1e-05	1.0
SP.Syn.Abst.689	16363	1.0	24.079	0.147%	3.117	0.162%	0.0	1.0
SP.Syn.Abst.690	10037	1.0	23.635	0.235%	2.8	0.24%	1e-05	1.0
SP.Syn.Abst.691	17838	1.0	25.65	0.144%	3.073	0.149%	0.0	1.0
SP.Syn.Abst.692	6857	1.0	24.478	0.357%	2.873	0.36%	1e-05	1.0
SP.Syn.Abst.693	4864	1.0	22.457	0.462%	2.657	0.463%	3e-05	1.0
SP.Syn.Abst.694	14262	1.0	24.13	0.169%	2.994	0.182%	0.0	1.0
SP.Syn.Abst.695	14077	1.0	24.869	0.177%	2.978	0.181%	0.0	1.0
SP.Syn.Abst.696	19954	1.0	22.526	0.113%	2.754	0.117%	0.0	1.0
SP.Syn.Abst.697	16064	1.0	24.488	0.152%	2.989	0.16%	0.0	1.0
SP.Syn.Abst.698	15896	1.0	24.777	0.156%	2.958	0.16%	0.0	1.0
SP.Syn.Abst.699	12123	1.0	23.491	0.194%	2.831	0.199%	1e-05	1.0
SP.Syn.Abst.700	5665	1.0	24.182	0.427%	2.907	0.44%	3e-05	1.0
SP.Syn.Abst.701	10346	1.0	23.664	0.229%	2.825	0.236%	1e-05	1.0
SP.Syn.Abst.702	5956	1.0	23.646	0.397%	2.832	0.411%	2e-05	1.0
SP.Syn.Abst.703	6794	1.0	26.171	0.385%	3.049	0.387%	2e-05	1.0
SP.Syn.Abst.704	10589	1.0	22.454	0.212%	2.753	0.217%	1e-05	1.0
SP.Syn.Abst.705	6181	1.0	22.643	0.366%	2.789	0.384%	2e-05	1.0
