Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP.Syn.Abst.787	6877	1.0	24.798	0.361%	2.945	0.359%	2e-05	1.0
SP.Syn.Abst.788	13102	1.0	24.726	0.189%	3.016	0.199%	0.0	1.0
SP.Syn.Abst.789	16930	1.0	24.518	0.145%	2.889	0.146%	0.0	1.0
SP.Syn.Abst.790	4600	1.0	23.087	0.502%	2.775	0.498%	3e-05	1.0
SP.Syn.Abst.791	11056	1.0	20.577	0.186%	2.588	0.202%	0.0	1.0
SP.Syn.Abst.792	9501	1.0	24.151	0.254%	2.865	0.26%	1e-05	1.0
SP.Syn.Abst.793	15880	1.0	27.629	0.174%	3.28	0.172%	0.0	1.0
SP.Syn.Abst.794	12868	1.0	21.029	0.163%	2.57	0.172%	0.0	1.0
SP.Syn.Abst.795	13866	1.0	23.472	0.169%	2.814	0.175%	0.0	1.0
SP.Syn.Abst.796	16468	1.0	26.367	0.16%	3.05	0.16%	0.0	1.0
SP.Syn.Abst.797	5981	1.0	20.978	0.351%	2.596	0.374%	2e-05	1.0
SP.Syn.Abst.798	12287	1.0	26.213	0.213%	3.142	0.218%	0.0	1.0
SP.Syn.Abst.799	5696	1.0	26.145	0.459%	3.111	0.448%	2e-05	1.0
SP.Syn.Abst.800	11245	1.0	24.087	0.214%	2.814	0.211%	1e-05	1.0
SP.Syn.Abst.801	5807	1.0	22.943	0.395%	2.743	0.408%	2e-05	1.0
SP.Syn.Abst.802	7642	1.0	22.393	0.293%	2.688	0.3%	1e-05	1.0
SP.Syn.Abst.803	8100	1.0	21.402	0.264%	2.616	0.277%	1e-05	1.0
SP.Syn.Abst.804	7775	1.0	25.428	0.327%	2.944	0.327%	2e-05	1.0
SP.Syn.Abst.805	7098	1.0	23.815	0.336%	2.866	0.344%	1e-05	1.0
SP.Syn.Abst.806	15927	1.0	23.834	0.15%	2.888	0.155%	0.0	1.0
SP.Syn.Abst.807	10030	1.0	26.566	0.265%	3.105	0.268%	1e-05	1.0
SP.Syn.Abst.808	5799	1.0	25.51	0.44%	2.99	0.442%	2e-05	1.0
SP.Syn.Abst.809	10016	1.0	21.586	0.216%	2.633	0.227%	1e-05	1.0
SP.Syn.Abst.810	12288	1.0	23.826	0.194%	2.822	0.199%	0.0	1.0
SP.Syn.Abst.811	10679	1.0	22.292	0.209%	2.704	0.218%	1e-05	1.0
SP.Syn.Abst.812	6065	1.0	23.22	0.383%	2.735	0.389%	2e-05	1.0
SP.Syn.Abst.813	12200	1.0	26.471	0.217%	3.131	0.221%	1e-05	1.0
SP.Syn.Abst.814	8992	1.0	23.126	0.257%	2.829	0.271%	1e-05	1.0
SP.Syn.Abst.815	12052	1.0	23.727	0.197%	2.774	0.198%	0.0	1.0
SP.Syn.Abst.816	9096	1.0	21.573	0.237%	2.658	0.252%	1e-05	1.0
SP.Syn.Abst.817	10298	1.0	26.641	0.259%	3.104	0.259%	1e-05	1.0
SP.Syn.Abst.818	6410	1.0	21.543	0.336%	2.612	0.353%	1e-05	1.0
SP.Syn.Abst.819	13171	1.0	21.946	0.167%	2.638	0.173%	0.0	1.0
SP.Syn.Abst.820	13398	1.0	24.324	0.182%	2.935	0.189%	0.0	1.0
SP.Syn.Abst.821	8365	1.0	22.337	0.267%	2.752	0.276%	1e-05	1.0
SP.Syn.Abst.822	11701	1.0	24.362	0.208%	2.962	0.212%	1e-05	1.0
SP.Syn.Abst.823	5336	1.0	22.683	0.425%	2.769	0.447%	3e-05	1.0
SP.Syn.Abst.824	10898	1.0	22.962	0.211%	2.798	0.22%	1e-05	1.0
SP.Syn.Abst.825	6425	1.0	25.68	0.4%	2.952	0.396%	2e-05	1.0
SP.Syn.Abst.826	8952	1.0	25.427	0.284%	3.006	0.288%	1e-05	1.0
SP.Syn.Abst.827	11975	1.0	22.375	0.187%	2.695	0.194%	0.0	1.0
SP.Syn.Abst.828	6849	1.0	24.207	0.353%	2.908	0.365%	1e-05	1.0
SP.Syn.Abst.829	11456	1.0	24.001	0.21%	2.825	0.213%	1e-05	1.0
SP.Syn.Abst.830	7181	1.0	24.047	0.335%	2.812	0.333%	1e-05	1.0
SP.Syn.Abst.831	8614	1.0	23.239	0.27%	2.759	0.272%	1e-05	1.0
SP.Syn.Abst.832	20462	1.0	26.579	0.13%	3.197	0.135%	0.0	1.0
SP.Syn.Abst.833	10733	1.0	23.282	0.217%	2.786	0.223%	1e-05	1.0
SP.Syn.Abst.834	17223	1.0	25.468	0.148%	3.107	0.152%	0.0	1.0
SP.Syn.Abst.835	13962	1.0	25.368	0.182%	3.1	0.187%	0.0	1.0
SP.Syn.Abst.836	5347	1.0	27.293	0.51%	3.095	0.5%	3e-05	1.0
SP.Syn.Abst.837	10955	1.0	23.536	0.215%	2.823	0.222%	1e-05	1.0
SP.Syn.Abst.838	7431	1.0	21.624	0.291%	2.582	0.3%	1e-05	1.0
SP.Syn.Abst.839	16711	1.0	21.343	0.128%	2.575	0.133%	0.0	1.0
SP.Syn.Abst.840	12275	1.0	25.761	0.21%	3.039	0.211%	1e-05	1.0
SP.Syn.Abst.841	8354	1.0	24.576	0.294%	2.859	0.29%	1e-05	1.0
SP.Syn.Abst.842	7409	1.0	24.402	0.329%	2.863	0.334%	1e-05	1.0
SP.Syn.Abst.843	18128	1.0	25.912	0.143%	3.003	0.14%	0.0	1.0
SP.Syn.Abst.844	7142	1.0	24.139	0.338%	2.85	0.332%	1e-05	1.0
SP.Syn.Abst.845	5721	1.0	21.205	0.371%	2.662	0.398%	3e-05	1.0
SP.Syn.Abst.846	10556	1.0	23.148	0.219%	2.831	0.229%	1e-05	1.0
SP.Syn.Abst.847	11457	1.0	22.27	0.194%	2.74	0.204%	0.0	1.0
SP.Syn.Abst.848	6372	1.0	22.438	0.352%	2.642	0.358%	1e-05	1.0
SP.Syn.Abst.849	7764	1.0	18.343	0.236%	2.275	0.251%	1e-05	1.0
SP.Syn.Abst.850	3957	1.0	23.105	0.584%	2.744	0.6%	4e-05	1.0
SP.Syn.Abst.851	6805	1.0	25.352	0.373%	2.971	0.371%	2e-05	1.0
SP.Syn.Abst.852	17091	1.0	25.102	0.147%	2.973	0.148%	0.0	1.0
SP.Syn.Abst.853	8360	1.0	23.108	0.276%	2.744	0.283%	1e-05	1.0
SP.Syn.Abst.854	14691	1.0	22.205	0.151%	2.751	0.162%	0.0	1.0
SP.Syn.Abst.855	14200	1.0	24.117	0.17%	2.932	0.178%	0.0	1.0
SP.Syn.Abst.856	11320	1.0	25.437	0.225%	2.94	0.222%	1e-05	1.0
SP.Syn.Abst.857	12471	1.0	25.011	0.201%	3.032	0.205%	0.0	1.0
SP.Syn.Abst.858	5323	1.0	27.572	0.518%	3.176	0.507%	3e-05	1.0
SP.Syn.Abst.859	11108	1.0	25.02	0.225%	2.992	0.23%	1e-05	1.0
SP.Syn.Abst.860	10919	1.0	22.52	0.206%	2.682	0.208%	0.0	1.0
SP.Syn.Abst.861	11727	1.0	25.7	0.219%	3.014	0.221%	1e-05	1.0
SP.Syn.Abst.862	5907	1.0	20.968	0.355%	2.574	0.367%	2e-05	1.0
SP.Syn.Abst.863	6032	1.0	24.268	0.402%	2.869	0.39%	2e-05	1.0
SP.Syn.Abst.864	4509	1.0	23.473	0.521%	2.793	0.51%	4e-05	1.0
SP.Syn.Abst.865	5318	1.0	26.47	0.498%	3.005	0.488%	3e-05	1.0
SP.Syn.Abst.866	8801	1.0	24.477	0.278%	2.861	0.28%	1e-05	1.0
SP.Syn.Abst.867	8824	1.0	23.239	0.263%	2.755	0.262%	1e-05	1.0
SP.Syn.Abst.868	7355	1.0	23.297	0.317%	2.778	0.326%	1e-05	1.0
SP.Syn.Abst.869	15296	1.0	26.031	0.17%	3.063	0.173%	0.0	1.0
SP.Syn.Abst.870	3387	1.0	23.551	0.695%	2.808	0.714%	6e-05	1.0
SP.Syn.Abst.871	12180	1.0	25.548	0.21%	3.06	0.217%	1e-05	1.0
SP.Syn.Abst.872	6159	1.0	21.202	0.344%	2.527	0.353%	1e-05	1.0
SP.Syn.Abst.873	5929	1.0	22.881	0.386%	2.746	0.399%	2e-05	1.0
SP.Syn.Abst.874	10737	1.0	22.536	0.21%	2.648	0.213%	1e-05	1.0
SP.Syn.Abst.875	8318	1.0	22.848	0.275%	2.717	0.282%	1e-05	1.0
SP.Syn.Abst.876	9289	1.0	22.57	0.243%	2.706	0.252%	1e-05	1.0
SP.Syn.Abst.877	5080	1.0	21.819	0.43%	2.64	0.444%	2e-05	1.0
SP.Syn.Abst.878	17950	1.0	26.112	0.145%	3.078	0.148%	0.0	1.0
SP.Syn.Abst.879	10149	1.0	25.347	0.25%	3.018	0.257%	1e-05	1.0
SP.Syn.Abst.880	10035	1.0	23.596	0.235%	2.762	0.233%	1e-05	1.0
SP.Syn.Abst.881	5406	1.0	23.935	0.443%	2.88	0.459%	2e-05	1.0
SP.Syn.Abst.882	8724	1.0	20.571	0.236%	2.533	0.246%	1e-05	1.0
SP.Syn.Abst.883	19406	1.0	25.474	0.131%	3.025	0.134%	0.0	1.0
SP.Syn.Abst.884	9853	1.0	24.663	0.25%	2.987	0.262%	1e-05	1.0
SP.Syn.Abst.885	13972	1.0	22.59	0.162%	2.728	0.164%	0.0	1.0
SP.Syn.Abst.886	17682	1.0	23.181	0.131%	2.913	0.142%	0.0	1.0
SP.Syn.Abst.887	8246	1.0	23.44	0.284%	2.763	0.286%	1e-05	1.0
SP.Syn.Abst.888	15190	1.0	26.793	0.176%	3.165	0.18%	0.0	1.0
SP.Syn.Abst.889	6670	1.0	25.276	0.379%	2.876	0.371%	2e-05	1.0
SP.Syn.Abst.890	7415	1.0	19.99	0.27%	2.482	0.286%	1e-05	1.0
SP.Syn.Abst.891	15978	1.0	23.044	0.144%	2.847	0.154%	0.0	1.0
SP.Syn.Abst.892	6726	1.0	22.295	0.331%	2.728	0.348%	1e-05	1.0
SP.Syn.Abst.893	9808	1.0	22.166	0.226%	2.67	0.229%	1e-05	1.0
SP.Syn.Abst.894	4291	1.0	21.109	0.492%	2.686	0.537%	3e-05	1.0
SP.Syn.Abst.895	6018	1.0	23.797	0.395%	2.842	0.406%	2e-05	1.0
SP.Syn.Abst.896	13365	1.0	22.985	0.172%	2.737	0.175%	0.0	1.0
SP.Syn.Abst.897	16782	1.0	22.187	0.132%	2.734	0.14%	0.0	1.0
SP.Syn.Abst.898	2576	1.0	23.735	0.921%	2.871	0.919%	0.00011	1.0
SP.Syn.Abst.899	8867	1.0	22.877	0.258%	2.756	0.264%	1e-05	1.0
SP.Syn.Abst.900	6493	1.0	25.726	0.396%	2.932	0.39%	2e-05	1.0
SP.Syn.Abst.901	6372	1.0	24.009	0.377%	2.817	0.376%	2e-05	1.0
SP.Syn.Abst.902	7009	1.0	23.754	0.339%	2.827	0.344%	1e-05	1.0
SP.Syn.Abst.903	8650	1.0	24.377	0.282%	2.897	0.29%	1e-05	1.0
SP.Syn.Abst.904	9760	1.0	21.467	0.22%	2.583	0.224%	1e-05	1.0
SP.Syn.Abst.905	6278	1.0	23.067	0.367%	2.733	0.374%	2e-05	1.0
SP.Syn.Abst.906	16433	1.0	22.999	0.14%	2.806	0.145%	0.0	1.0
SP.Syn.Abst.907	6425	1.0	24.666	0.384%	2.906	0.387%	2e-05	1.0
SP.Syn.Abst.908	11215	1.0	21.69	0.193%	2.67	0.202%	0.0	1.0
SP.Syn.Abst.909	11852	1.0	21.599	0.182%	2.609	0.189%	1e-05	1.0
SP.Syn.Abst.910	7894	1.0	23.821	0.302%	2.863	0.306%	1e-05	1.0
SP.Syn.Abst.911	5355	1.0	21.055	0.393%	2.544	0.401%	2e-05	1.0
SP.Syn.Abst.912	21877	1.0	25.895	0.118%	3.084	0.122%	0.0	1.0
SP.Syn.Abst.913	9860	1.0	24.04	0.244%	2.836	0.238%	1e-05	1.0
SP.Syn.Abst.914	8411	1.0	22.75	0.27%	2.695	0.275%	1e-05	1.0
SP.Syn.Abst.915	10539	1.0	24.476	0.232%	2.909	0.232%	1e-05	1.0
SP.Syn.Abst.916	14126	1.0	24.076	0.17%	2.865	0.174%	0.0	1.0
SP.Syn.Abst.917	6560	1.0	24.741	0.377%	2.944	0.379%	2e-05	1.0
SP.Syn.Abst.918	8619	1.0	22.669	0.263%	2.699	0.27%	1e-05	1.0
SP.Syn.Abst.919	10209	1.0	24.557	0.241%	2.863	0.236%	1e-05	1.0
SP.Syn.Abst.920	5939	1.0	20.257	0.341%	2.444	0.354%	2e-05	1.0
SP.Syn.Abst.921	11562	1.0	25.127	0.217%	2.944	0.22%	1e-05	1.0
SP.Syn.Abst.922	9469	1.0	23.607	0.249%	2.79	0.254%	1e-05	1.0
SP.Syn.Abst.923	9262	1.0	24.988	0.27%	2.963	0.276%	1e-05	1.0
SP.Syn.Abst.924	6854	1.0	23.753	0.347%	2.869	0.343%	1e-05	1.0
SP.Syn.Abst.925	7428	1.0	21.696	0.292%	2.577	0.296%	1e-05	1.0
SP.Syn.Abst.926	12871	1.0	25.07	0.195%	2.936	0.195%	0.0	1.0
SP.Syn.Abst.927	17599	1.0	23.273	0.132%	2.864	0.139%	0.0	1.0
SP.Syn.Abst.928	20891	1.0	22.835	0.109%	2.806	0.116%	0.0	1.0
SP.Syn.Abst.929	5241	1.0	23.184	0.442%	2.755	0.451%	2e-05	1.0
SP.Syn.Abst.930	20420	1.0	26.251	0.129%	3.169	0.13%	0.0	1.0
SP.Syn.Abst.931	6454	1.0	25.366	0.393%	2.948	0.393%	2e-05	1.0
SP.Syn.Abst.932	11904	1.0	26.663	0.224%	3.028	0.218%	1e-05	1.0
SP.Syn.Abst.933	10212	1.0	24.855	0.243%	2.903	0.245%	1e-05	1.0
SP.Syn.Abst.934	13034	1.0	22.169	0.17%	2.725	0.175%	0.0	1.0
SP.Syn.Abst.935	5815	1.0	23.995	0.413%	2.866	0.426%	2e-05	1.0
SP.Syn.Abst.936	18834	1.0	24.294	0.129%	2.847	0.13%	0.0	1.0
SP.Syn.Abst.937	7159	1.0	20.122	0.281%	2.447	0.294%	1e-05	1.0
SP.Syn.Abst.938	7384	1.0	22.79	0.309%	2.713	0.316%	1e-05	1.0
SP.Syn.Abst.939	6645	1.0	24.324	0.366%	2.901	0.375%	1e-05	1.0
SP.Syn.Abst.940	10085	1.0	23.747	0.235%	2.819	0.241%	1e-05	1.0
SP.Syn.Abst.941	10542	1.0	24.427	0.232%	2.882	0.236%	1e-05	1.0
SP.Syn.Abst.942	4442	1.0	24.817	0.559%	2.872	0.533%	3e-05	1.0
SP.Syn.Abst.943	7864	1.0	21.852	0.278%	2.675	0.294%	1e-05	1.0
SP.Syn.Abst.944	8445	1.0	23.421	0.277%	2.771	0.281%	1e-05	1.0
SP.Syn.Abst.945	6652	1.0	25.85	0.389%	3.001	0.384%	2e-05	1.0
SP.Syn.Abst.946	5313	1.0	23.512	0.443%	2.778	0.448%	2e-05	1.0
SP.Syn.Abst.947	3866	1.0	21.876	0.566%	2.613	0.579%	3e-05	1.0
SP.Syn.Abst.948	15842	1.0	23.146	0.146%	2.901	0.158%	0.0	1.0
SP.Syn.Abst.949	5014	1.0	24.413	0.487%	2.887	0.476%	4e-05	1.0
SP.Syn.Abst.950	5742	1.0	24.92	0.434%	2.932	0.429%	2e-05	1.0
SP.Syn.Abst.951	8563	1.0	21.46	0.251%	2.725	0.269%	1e-05	1.0
SP.Syn.Abst.952	10674	1.0	23.542	0.221%	2.761	0.223%	0.0	1.0
SP.Syn.Abst.953	10715	1.0	24.777	0.231%	3.012	0.243%	1e-05	1.0
SP.Syn.Abst.954	7538	1.0	21.156	0.281%	2.611	0.297%	1e-05	1.0
SP.Syn.Abst.955	8236	1.0	24.181	0.294%	2.828	0.292%	1e-05	1.0
SP.Syn.Abst.956	11810	1.0	21.703	0.184%	2.58	0.188%	0.0	1.0
SP.Syn.Abst.957	11708	1.0	25.851	0.221%	3.046	0.22%	1e-05	1.0
SP.Syn.Abst.958	5774	1.0	22.779	0.395%	2.715	0.407%	2e-05	1.0
SP.Syn.Abst.959	10186	1.0	23.361	0.229%	2.808	0.238%	1e-05	1.0
SP.Syn.Abst.960	4611	1.0	23.222	0.504%	2.706	0.506%	2e-05	1.0
SP.Syn.Abst.961	18137	1.0	24.567	0.135%	3.023	0.144%	0.0	1.0
SP.Syn.Abst.962	7252	1.0	24.567	0.339%	2.985	0.337%	1e-05	1.0
SP.Syn.Abst.963	14044	1.0	26.527	0.189%	3.143	0.194%	0.0	1.0
SP.Syn.Abst.964	17310	1.0	24.225	0.14%	2.937	0.143%	0.0	1.0
SP.Syn.Abst.965	15626	1.0	25.116	0.161%	2.933	0.161%	0.0	1.0
SP.Syn.Abst.966	8898	1.0	23.094	0.26%	2.76	0.267%	1e-05	1.0
SP.Syn.Abst.967	12549	1.0	23.431	0.187%	2.833	0.191%	0.0	1.0
SP.Syn.Abst.968	6713	1.0	25.028	0.373%	2.941	0.376%	2e-05	1.0
SP.Syn.Abst.969	10907	1.0	23.047	0.211%	2.658	0.209%	1e-05	1.0
SP.Syn.Abst.970	8628	1.0	24.44	0.283%	2.98	0.293%	1e-05	1.0
SP.Syn.Abst.971	16045	1.0	23.252	0.145%	2.807	0.15%	0.0	1.0
SP.Syn.Abst.972	3438	1.0	24.415	0.71%	2.836	0.681%	6e-05	1.0
SP.Syn.Abst.973	12551	1.0	25.017	0.199%	2.973	0.202%	0.0	1.0
SP.Syn.Abst.974	6326	1.0	23.572	0.373%	2.869	0.39%	2e-05	1.0
SP.Syn.Abst.975	5179	1.0	26.366	0.509%	3.102	0.516%	3e-05	1.0
SP.Syn.Abst.976	11626	1.0	22.543	0.194%	2.76	0.201%	0.0	1.0
SP.Syn.Abst.977	9899	1.0	22.399	0.226%	2.723	0.237%	1e-05	1.0
SP.Syn.Abst.978	8466	1.0	24.322	0.287%	2.814	0.287%	1e-05	1.0
SP.Syn.Abst.979	16286	1.0	28.051	0.172%	3.217	0.167%	0.0	1.0
SP.Syn.Abst.980	10226	1.0	25.15	0.246%	2.964	0.25%	1e-05	1.0
SP.Syn.Abst.981	8257	1.0	22.275	0.27%	2.681	0.279%	1e-05	1.0
SP.Syn.Abst.982	9551	1.0	20.706	0.217%	2.581	0.232%	1e-05	1.0
SP.Syn.Abst.983	12943	1.0	22.151	0.171%	2.715	0.181%	0.0	1.0
SP.Syn.Abst.984	8880	1.0	22.966	0.259%	2.718	0.264%	1e-05	1.0
SP.Syn.Abst.985	13976	1.0	23.341	0.167%	2.799	0.172%	0.0	1.0
SP.Syn.Abst.986	8845	1.0	21.326	0.241%	2.561	0.246%	1e-05	1.0
SP.Syn.Abst.987	13912	1.0	25.135	0.181%	2.987	0.184%	0.0	1.0
SP.Syn.Abst.988	9727	1.0	22.988	0.236%	2.748	0.244%	1e-05	1.0
SP.Syn.Abst.989	4195	1.0	25.138	0.599%	2.97	0.606%	6e-05	1.0
SP.Syn.Abst.990	12899	1.0	25.325	0.196%	3.014	0.202%	0.0	1.0
SP.Syn.Abst.991	9193	1.0	25.328	0.276%	2.955	0.276%	1e-05	1.0
SP.Syn.Abst.992	5192	1.0	22.167	0.427%	2.619	0.435%	2e-05	1.0
SP.Syn.Abst.993	8479	1.0	20.027	0.236%	2.464	0.247%	1e-05	1.0
SP.Syn.Abst.994	10697	1.0	24.492	0.229%	2.846	0.229%	1e-05	1.0
SP.Syn.Abst.995	7515	1.0	26.462	0.352%	3.022	0.345%	1e-05	1.0
SP.Syn.Abst.996	11973	1.0	26.768	0.224%	3.084	0.22%	1e-05	1.0
SP.Syn.Abst.997	7315	1.0	25.279	0.346%	2.941	0.346%	1e-05	1.0
SP.Syn.Abst.998	7114	1.0	24.688	0.347%	2.89	0.346%	1e-05	1.0
SP.Syn.Abst.999	7454	1.0	21.346	0.286%	2.622	0.302%	1e-05	1.0
SP.Syn.Abst.1000	10337	1.0	24.434	0.236%	2.941	0.245%	1e-05	1.0
